部材ｺｰﾄﾞ,部材名,摘要,単位,数量,仕入値,売単価,価格3,価格4,部材符号,備考,調整値,小計ﾌﾗｸﾞ,端数処理,端数有効桁,工事種別,部屋区分,区分3,発注先区分,区分5,部材種類,明細表示ﾓｰﾄﾞ,合算名称,明細属性,構成ｺｰﾄﾞ,区分2補助,表示優先度,利益率,階層,区画ﾕﾆｰｸID,設備別区分
K04AA00901,２Ｆ昇降階段架払リース料,,ケ所,1,12000,15590,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
ZAKEIHI04993,３回目クリーニング費用,,㎡,112.42,120,160,,,,,,,切り上げ,0.01,0,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K04CA0073,イメージシート（１間×３間）,,枚,1,3150,4090,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ003,ネットフェンス,,ｍ,14,1400,1820,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ002,バリケード,,ｍ,14,2500,3250,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K04CA0070,メッシュシート（掛面積）,,㎡,221.3,230,300,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ028,安全ネット（運送）,,式,1,4800,6240,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ027,安全ネット（床梁・屋根梁面）,,㎡,115.1,90,120,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01AA008,仮設トイレ,,式,1,27000,35070,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ011,荷降し費用（ＨＳ・Ｒ・集合）,ＥＣＯセンター運営費含む,㎡,114.1,960,1250,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K03CA0009,階段開口部安全対策費,,式,1,10000,12990,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CA0061,環境整備備品セット,,式,1,24900,32340,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K03CA0006,再美装費,,㎡,109.7,110,150,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K03CA0004,産廃処理費用（ＨＳ・Ｒ・都市）,施工面積×１．０４,㎡,114.1,1200,1560,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K04CA0014,親綱、親綱受け梁分,,セット,2,6000,7800,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ047,吹抜部 安全ネット,,ケ所,1,1000,1300,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ052,吹抜部　仮床材 改,,ケ所,1,11400,14810,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K03AA001,清掃、クリーニング費（戸建）,,㎡,109.7,300,390,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CAZ014,石膏ボード便荷受費用（２階建）,,回,2,16000,20780,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K04CA0064,足場リース（２階掛面積）,昇降階段、親綱・親綱受含む,㎡,221.3,710,930,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K04AA017,内部足場架払リース料,吹抜け箇所数,ケ所,1,20000,25980,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K01CA0073,天井断熱材専用便荷受費用,,式,1,16000,20780,,,,,,,切り上げ,0.1,2,,0,,仮設工事（小計）,,,,,,仮設工事,,,,,仮設工事（小計）
K05AA509,コンクリート圧縮強度試験費,,回,1,20000,25980,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CA1660,ブロック基礎２段,砕石60,ｍ,1.5,2100,2730,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
ZAKEIHI05517,ベース幅変更工事,,Ｐ,73.4,200,260,,,,,,,切り上げ,0.1,0,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CA0001,ポンプ車リース費用,,回,2,35000,45460,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CA2125N,基礎弾性モルタル,,㎡,15.9,3030,3940,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CA1749,基礎断熱材設置（基礎工事）,,ｍ,32.4,310,410,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CZ0001,残土処分,,ｍ3,6.6,6000,7800,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CZ0001,残土処分,,ｍ3,10.3,6000,7800,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
ZAKEIHI05225,残土処分費,,ｍ3,11.7,6000,7800,,,,,,,切り上げ,0.01,0,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
ZAKEIHI05519,残土処分費,深基礎・基礎下げ・２ｔ差処分追加積算,ｍ3,2.7,6000,7800,,,,,,,切り上げ,0.1,0,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
ZAKEIHI05516,深基礎工事,,Ｐ,51.4,150,200,,,,,,,切り上げ,0.1,0,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05AA101,水盛やり方,建築面積,㎡,58.4,170,220,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
ZAKEIHI05518,生コン差額,,ｍ,0.3,20000,25980,,,,,,,切り上げ,0.1,0,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05CA2124,防蟻・防湿シート敷込（土間込）,,㎡,58.4,230,300,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05ZCA1907,土間コン（１００厚）（ワイヤーメッシュ入）,,㎡,54.7,2570,3340,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05AA511,土間コンクリート用配管ピット,,ケ所,5,1150,1500,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
KV02S361,布基礎ＲＧ１（７２０）Ｂ７００,RG1･成720･B700･立170,ｍ,25.2,10230,13290,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
K05ZCA1661,土間コンクリート,玄関・勝手口ポーチ・内玄関,㎡,3.7,2000,2600,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
KV02S433,偏芯基礎ＲＧ１（７２０）Ｂ７００,RG1･成720･B700･立170,ｍ,21.6,10730,13940,,,,,,,切り上げ,0.1,2,,0,,基礎工事（小計）,,,,,,基礎工事,,,,,基礎工事（小計）
U052HS200501,（２．５寸）屋根伏ユニット面積　ＨＳ請負１便,,P2,67,3400,4420,,,,,,,切り上げ,0.1,1,,0,,躯体工事（小計）,,,,,,躯体工事,,,,,躯体工事（小計）
U052HS200502,（４寸）屋根伏ユニット面積　ＨＳ請負１便,,P2,6,3700,4810,,,,,,,切り上げ,0.1,1,,0,,躯体工事（小計）,,,,,,躯体工事,,,,,躯体工事（小計）
1AHS211101,［エアロハス］階間ダクト差額　ＨＳ２Ｇ,,ケ所,1,-1000,-1300,,,,,,,切り上げ,0.1,1,,0,,躯体工事（小計）,,,,,,躯体工事,,,,,躯体工事（小計）
